qid,type,query,gold_asin,gold_title,gold_ann,req,gap,original
62,避雷,I have hyper sensitive skin — can you recommend something that won't cause breakouts?,B083SCPG87,VT COSMETICS CICA Liquid Foundation Glow- BTS Makeup | , CICA Liquid Foundation Glow🔗B083SCPG87 [肤质:干皮 | 妆效:未标 | 遮盖:轻遮瑕 | 质地:液体 | 色号:未标],soft=[] hard=['敏感肌'] finish=None cov=None form=None shade=None,hard:敏感肌→库=∅ evid=✓,I have hyper sensitive skin and this does not break me out .
63,避雷,I have rosacea and struggle with redness — what can I use to calm and cover it without irritation?,B01NCOK3W3,Clinique Redness Solutions Makeup Foundation SPF 15 wit,ness Solutions Makeup Founda🔗B01NCOK3W3 [肤质:未标 | 妆效:未标 | 遮盖:高遮瑕 | 质地:乳霜 | 色号:未标],soft=[] hard=['敏感肌'] finish=None cov=None form=None shade=None,hard:敏感肌→库=∅ evid=✓,Absolute necessity if you have Rosacea or problems with redness.
66,避雷,"I have sensitive, dry, acne-prone skin — can you recommend a non-irritating foundation that won't br",B01AXR8Z9C,J.One Jelly Cushion SPF 50+ With Extra Refill - #23 2x1, Cushion SPF 50+ With Extra R🔗B01AXR8Z9C [肤质:未标 | 妆效:未标 | 遮盖:未标 | 质地:气垫 | 色号:未标],"soft=['干皮'] hard=['敏感肌', '痘痘肌'] finish=水光 cov=None form=None shade=None","hard:敏感肌,痘痘肌→库=∅ evid=✓ || soft:干皮→库=∅ evid=✓ || finish:水光→库=∅ evid=✓","Non irritating, will not break out skin, perfect color match, dewy-natural, never cakes, good for sensitive dry acne prone skin"
67,避雷,I have oily skin and need a matte foundation that controls shine without looking cakey — what do you,7398671962,No7 Beautifully Matte Foundation Warm Beige by No7,lly Matte Foundation Warm Be🔗7398671962 [肤质:痘痘肌 | 妆效:哑光 | 遮盖:未标 | 质地:乳霜 | 色号:自然],soft=['油皮'] hard=[] finish=哑光 cov=None form=None shade=None,soft:油皮→库=∅ evid=✗,It is a matte foundation
68,避雷,"I need a lightweight, natural-finish foundation that stays on all day, won't cake or feel greasy, ke",B00WZOH1KQ,NYX Cosmetics High Definition Studio Photogenic Foundat,cs High Definition Studio Pho🔗B00WZOH1KQ [肤质:未标 | 妆效:未标 | 遮盖:未标 | 质地:乳霜 | 色号:自然],soft=[] hard=[] finish=自然 cov=None form=None shade=None,finish:自然→库=∅ evid=✓,"Light natural, not greasy, no breakouts, does not cake, STAYS ON, moisturizing, IT IS PERFECT."
70,避雷,"I have unbelievably oily, clog-prone skin — can you recommend a makeup that won't clog my pores?",B087J6PP9X,"Almay Clear Complexion Makeup, Hypoallergenic, Cruelty ","on Makeup, Hypoaller🔗B087J6PP9X [肤质:敏感肌;混合肌;痘痘肌 | 妆效:哑光 | 遮盖:未标 | 质地:液体 | 色号:未标]",soft=['油皮'] hard=[] finish=None cov=None form=None shade=None,soft:油皮→库=∅ evid=✓,I also have unbelievably oily skin that becomes clogged even if I do nothing to it and this makeup does minimal clogging.
72,色号,"My skin looks dull and I want a glowy, natural finish from a cushion that won't look cakey — what do",B01C6YE0XK,Nakeup Face Waterking Cover Cushion No.21 Light Beige (,erking Cover Cushion No.2🔗B01C6YE0XK [肤质:干皮 | 妆效:光泽 | 遮盖:轻遮瑕 | 质地:乳霜 | 色号:白皙;自然],soft=[] hard=[] finish=光泽 cov=None form=气垫 shade=None,form:气垫→库=乳霜 evid=✓,Surprisingly good cushion makes my skin very glowy and not overly cakey either.
76,色号,I need a foundation with light to medium coverage that minimizes pores and looks beautiful on my ski,B07TB3HJQ4,"stila Hide and Chic Liquid Foundation Makeup, Medium 3 ",nd Chic Liquid Foundation Ma🔗B07TB3HJQ4 [肤质:全肤质 | 妆效:缎面 | 遮盖:未标 | 质地:液体 | 色号:自然],soft=[] hard=[] finish=None cov=中度遮瑕 form=None shade=None,coverage:中度遮瑕→库=∅ evid=✓,"Love this foundation,bought online so wasn’t sire if the color would match,happily surprised it was perfect.Nice light to medium coverage,very pore minimizing.Looks beautiful on.I think I just found my one & only perfect foundation."
92,预算,"I'm looking for an affordable, semi-matte foundation — what do you recommend for a good everyday opt",B07547GJBS,Peripera Airy Ink Foundation 0.3 Ounce 3 Sand,ry Ink Foundation 0.3 Ounce 3🔗B07547GJBS [肤质:未标 | 妆效:自然 | 遮盖:未标 | 质地:粉状 | 色号:自然],soft=[] hard=[] finish=哑光 cov=None form=None shade=None,finish:哑光→库=自然 evid=✓,"If you're on the hunt for a good, affordable, semi-matte foundation, this is for you!!!"
95,持妆,"I have oily skin and need a foundation that keeps me matte all day, covers every blemish, and works ",B00FVAQYJK,Kat Von D Lock-it Tattoo Foundation Medium 53,-it Tattoo Foundation Medi🔗B00FVAQYJK [肤质:全肤质 | 妆效:未标 | 遮盖:中度遮瑕 | 质地:液体 | 色号:自然],soft=['油皮'] hard=[] finish=哑光 cov=None form=None shade=None,finish:哑光→库=∅ evid=✗,Best foundation ever if you have oily skin - keeps you matted best if used with a beauty blender - covers every blemish on your face
100,持妆,"I have very dry, acne-prone skin, but my friend's is oily — can you recommend something that works f",B06Y4YFFYQ,Gressa Skin - Natural Minimalist Corrective Serum Found, Natural Minimalist Correct🔗B06Y4YFFYQ [肤质:未标 | 妆效:自然 | 遮盖:中度遮瑕 | 质地:未标 | 色号:自然],"soft=['干皮', '油皮'] hard=['痘痘肌'] finish=None cov=None form=None shade=None","hard:痘痘肌→库=∅ evid=✓ || soft:干皮,油皮→库=∅ evid=✓",It works on my very dry acne prone skin as well as my friend's oily skin.
101,持妆,I have oily skin — what foundation will keep me shine-free all day?,B079XW1XJF,VELY VELY Perfect Cover Cushion 17g (23 Natural) Single,rfect Cover Cushion 17g (23 🔗B079XW1XJF [肤质:未标 | 妆效:哑光 | 遮盖:高遮瑕 | 质地:气垫 | 色号:自然],soft=['油皮'] hard=[] finish=None cov=None form=None shade=None,soft:油皮→库=∅ evid=✓,This is perfect for oily skin.
106,持妆,I have an oily t-zone — what can I use that will stay on all day without sliding off?,B00P7COT6M,2 Pack Palladio Beauty Herbal Dual Wet & Dry Foundation,adio Beauty Herbal Dual Wet &🔗B00P7COT6M [肤质:干皮 | 妆效:未标 | 遮盖:未标 | 质地:乳霜 | 色号:深色],soft=['油皮'] hard=[] finish=None cov=None form=None shade=None,soft:油皮→库=∅ evid=✓,It stays on and I have oily t-zone.
110,硬约束,I have hormonal acne on my chin — I need something that won’t irritate it but will still give me ful,B003V1RC6A,Bare Escentuals Fairly Light Foundation N10 SPF 15 - 2 ,als Fairly Light Foundation 🔗B003V1RC6A [肤质:未标 | 妆效:未标 | 遮盖:轻遮瑕 | 质地:乳霜 | 色号:白皙],soft=[] hard=['敏感肌'] finish=None cov=None form=None shade=None,hard:敏感肌→库=∅ evid=✓,"I have hormonal acne on my chin and it was the only thing that did not make it worse, and successfully covered it."
114,硬约束,"I'm used to full-coverage foundation, but I need a vegan, cruelty-free option from a small brand — c",B074S4RS17,Organic Liquid Matte Foundation Makeup | Vegan Cruelty ,atte Foundation Makeup |🔗B074S4RS17 [肤质:油皮 | 妆效:哑光 | 遮盖:中度遮瑕 | 质地:液体 | 色号:白皙;自然],soft=[] hard=[] finish=None cov=高遮瑕 form=None shade=None,coverage:高遮瑕→库=中度遮瑕 evid=✓,"First off, I love the fact that it's vegan,cruelty free and a small family owned business which a fully support all of it.<br /><br />Their customer service is on point, very attentive and eager to know how their customers like their product and if there's any"
117,质地,I prefer a matte finish over a luminous one — can you recommend something that works well with a mat,B00M5IFUO6,Bourjois Healthy Mix Serum Gel foundation-makeup,althy Mix Serum Gel foundatio🔗B00M5IFUO6 [肤质:未标 | 妆效:未标 | 遮盖:未标 | 质地:未标 | 色号:未标],soft=[] hard=[] finish=哑光 cov=None form=None shade=None,finish:哑光→库=∅ evid=✓,I set it with a mattifying powder because I prefer a matte finish to a luminous one.
119,质地,"I have oily, acne-prone skin that breaks out with heavy moisturizers — can you recommend a lightweig",B019BCAMT6,Myconos Magic BB CC Moist Air Cushion Compact Korean Co,ic BB CC Moist Air Cushion Co🔗B019BCAMT6 [肤质:未标 | 妆效:光泽 | 遮盖:未标 | 质地:乳霜 | 色号:未标],soft=['油皮'] hard=['痘痘肌'] finish=None cov=None form=气垫 shade=None,hard:痘痘肌→库=∅ evid=✓ || soft:油皮→库=∅ evid=✓ || form:气垫→库=乳霜 evid=✓,This is my first BB Cushion Compact.<br />I've had great experiences with Myconos products n the past so decided to try this out to for that full - Bang effect.<br /><br />I currently own the following Myconos brand products:<br />- Gel cleanser<br />- Whiteni
120,质地,I have dry skin — will a foundation keep me from feeling dry throughout the day?,B012N26BUU,Best Selling in Asia- Super Moisture Cc Cushion Foundat, Asia- Super Moisture Cc 🔗B012N26BUU [肤质:中性 | 妆效:自然 | 遮盖:高遮瑕 | 质地:气垫 | 色号:自然;深色],soft=['干皮'] hard=[] finish=None cov=None form=None shade=None,soft:干皮→库=∅ evid=✓,"if you have dry skin, you might feel dry"
122,质地,"I want a foundation that gives a from-within glow, stays on all day, and comes with a sponge applica",B019BCAMT6,Myconos Magic BB CC Moist Air Cushion Compact Korean Co,ic BB CC Moist Air Cushion Co🔗B019BCAMT6 [肤质:未标 | 妆效:光泽 | 遮盖:未标 | 质地:乳霜 | 色号:未标],soft=[] hard=[] finish=光泽 cov=None form=液体 shade=None,form:液体→库=乳霜 evid=✓,"Not only does it give you a lot from within glow, it stays on, and also comes with an extra spongy part (that holds all the liquid makeup); so it’s like too for the price of one!"
124,质地,I need a light-coverage foundation that looks natural and doesn't feel heavy on my skin.,B019BCAMT6,Myconos Magic BB CC Moist Air Cushion Compact Korean Co,ic BB CC Moist Air Cushion Co🔗B019BCAMT6 [肤质:未标 | 妆效:光泽 | 遮盖:未标 | 质地:乳霜 | 色号:未标],soft=[] hard=[] finish=自然 cov=轻遮瑕 form=None shade=None,finish:自然→库=光泽 evid=✗ || coverage:轻遮瑕→库=∅ evid=✓,It is light coverage
125,质地,I need a powder that blurs my skin — what do you recommend?,B07FP11ZN6,Fifth & Skin (MEDIUM) Better'n Ur Skin - Prep n Set Blu,MEDIUM) Better'n Ur Skin -🔗B07FP11ZN6 [肤质:敏感肌 | 妆效:哑光 | 遮盖:中度遮瑕 | 质地:未标 | 色号:自然],soft=[] hard=[] finish=None cov=None form=粉状 shade=None,form:粉状→库=∅ evid=✓,This powder really does blur.
126,质地,I have dry skin and this tends to cling to my dry patches — can you recommend something that won't s,B07DCP4MPY,Peach Perfect Foundation In Snow 1 FOUNDATION INCLUDED,Foundation In Snow 1 FOUND🔗B07DCP4MPY [肤质:未标 | 妆效:哑光 | 遮盖:未标 | 质地:乳霜 | 色号:白皙;冷调],soft=['干皮'] hard=[] finish=None cov=None form=None shade=None,soft:干皮→库=∅ evid=✓,My only complaint is that I feel it is more designed for combination or oily skin as it tends to stick to my dry patches.
129,质地,I love a dewy finish — can you help me find something that leaves my skin glowing but not matte?,B07D7R6J6N,Peripera Airy Ink Cushion - Daldal Factory 0.5 Ounce 00,ry Ink Cushion - Daldal Facto🔗B07D7R6J6N [肤质:未标 | 妆效:未标 | 遮盖:未标 | 质地:气垫 | 色号:自然],soft=[] hard=[] finish=水光 cov=None form=None shade=None,finish:水光→库=∅ evid=✓,"I PERSONALLY LOVE IT, IT DOES LEAVE YOUR SKIN MORE DEWY AND NOT MATTE"
